onset	duration	trial_type	load_type	processing_stage
1.081	3.117	Num	Med	Cue
4.198	10.051	Num	Med	Encode
14.249	10.004	Num	Med	Maintain
24.253	4.974	Num	Med	Probe
29.227	10.554	Num	Med	Rest
39.781	3.083	Frac	Med	Cue
42.864	10.05	Frac	Med	Encode
52.914	10.003	Frac	Med	Maintain
62.917	4.349	Frac	Med	Probe
67.266	10.515	Frac	Med	Rest
77.781	3.217	Num	High	Cue
80.998	10.033	Num	High	Encode
91.031	10.004	Num	High	Maintain
101.035	5.039	Num	High	Probe
106.074	10.507	Num	High	Rest
116.581	3.083	Frac	Low	Cue
119.664	10.034	Frac	Low	Encode
129.698	10.002	Frac	Low	Maintain
139.7	4.231	Frac	Low	Probe
143.931	10.517	Frac	Low	Rest
154.448	3.216	Frac	High	Cue
157.664	10.034	Frac	High	Encode
167.698	10.003	Frac	High	Maintain
177.701	5.262	Frac	High	Probe
182.963	10.535	Frac	High	Rest
193.498	3.483	Pos	High	Cue
196.981	10.033	Pos	High	Encode
207.014	10.003	Pos	High	Maintain
217.017	4.674	Pos	High	Probe
221.691	10.54	Pos	High	Rest
232.231	3.25	Pos	Low	Cue
235.481	10.033	Pos	Low	Encode
245.514	10.002	Pos	Low	Maintain
255.516	4.622	Pos	Low	Probe
260.138	10.51	Pos	Low	Rest
270.648	3.166	Num	Low	Cue
273.814	10.034	Num	Low	Encode
283.848	10.001	Num	Low	Maintain
293.849	5.953	Num	Low	Probe
299.802	10.512	Num	Low	Rest
310.314	3.084	Pos	Med	Cue
313.398	10.033	Pos	Med	Encode
323.431	10.003	Pos	Med	Maintain
333.434	5.449	Pos	Med	Probe
338.883	9.515	Pos	Med	Rest
348.398	3.083	Frac	Med	Cue
351.481	10.033	Frac	Med	Encode
361.514	10.002	Frac	Med	Maintain
371.516	5.807	Frac	Med	Probe
377.323	10.525	Frac	Med	Rest
387.848	3.133	Num	Med	Cue
390.981	10.033	Num	Med	Encode
401.014	10.002	Num	Med	Maintain
411.016	6.154	Num	Med	Probe
417.17	10.511	Num	Med	Rest
427.681	3.3	Frac	High	Cue
430.981	10.033	Frac	High	Encode
441.014	10.004	Frac	High	Maintain
451.018	7.6	Frac	High	Probe
458.618	10.53	Frac	High	Rest
469.148	3.033	Pos	Med	Cue
472.181	10.05	Pos	Med	Encode
482.231	10.002	Pos	Med	Maintain
492.233	4.29	Pos	Med	Probe
496.523	10.541	Pos	Med	Rest
507.064	3.284	Num	High	Cue
510.348	10.05	Num	High	Encode
520.398	10.003	Num	High	Maintain
530.401	7.393	Num	High	Probe
537.794	10.52	Num	High	Rest
548.314	3.2	Num	Low	Cue
551.514	10.05	Num	Low	Encode
561.564	10.001	Num	Low	Maintain
571.565	3.493	Num	Low	Probe
575.058	10.54	Num	Low	Rest
585.598	3.316	Pos	High	Cue
588.914	10.034	Pos	High	Encode
598.948	10.003	Pos	High	Maintain
608.951	5.083	Pos	High	Probe
614.034	10.547	Pos	High	Rest
624.581	3.317	Pos	Low	Cue
627.898	10.05	Pos	Low	Encode
637.948	10.001	Pos	Low	Maintain
647.949	1.829	Pos	Low	Probe
649.778	10.503	Pos	Low	Rest
660.281	3.317	Frac	Low	Cue
663.598	10.05	Frac	Low	Encode
673.648	10.002	Frac	Low	Maintain
683.65	4.337	Frac	Low	Probe
687.987	10	Frac	Low	Rest
